95 NAMAYINGO,033 BUKOOLI SOUTH COUNTY,01 BANDA,03 BUWOYA,01 BUDIANGA
,,,,07 ONGOJJE EAST
,,,,08 ONGOJJE WEST
,,,33 DOHWE,01 DOHWE CENTRAL
,,,,02 DOHWE EAST
,,,,03 DOHWE WEST
,,,,04 LUWERERE 'A'
,,,,05 LUWERERE 'B'
,,,,06 NABWERE NORTH
,,,,07 NABWERE SOUTH
,,,,08 NAMUWANGO
,,,34 SINDE,01 GENGULUHO
,,,,02 MAKADA
,,,,03 NAMALERE
,,,,04 NAMAYOMBE
,,,,05 SINDE
,,07 NAMAYINGO TOWN COUNCIL,01 BULAMBA WARD,03 BUKOVA
,,,,04 BULAMBA 'A'
,,,,05 BULAMBA 'B'
,,,,07 MPANO 'A'
,,,,08 MPANO 'B'
,,,,11 NAWAYIBETE
,,,30 NAMAYINGO CENTRAL WARD,02 NAMAYINGO EAST
,,,,03 NAMAYINGO NORTH
,,,,04 NAMAYINGO SOUTH
,,,,05 NAMAYINGO WEST
,,,,09 NAMAYINGO CENTRAL
,,,,10 NAMAYUNJU
,,,41 BUDIDI WARD,01 BUDIDI
,,,,02 BULETU
,,,,06 GABA
,,,,09 NAMASULO A
,,,,10 BUYIITI
,,,,12 NAMASULO B
,,,42 NAMBUGU WARD,01 BUYINJA
,,,,06 NAMBUGU
,,,,07 WALUMBE
,,,,08 BUWAYE
,,,43 NASINU WARD,02 BUNYIKA A
,,,,05 NASINU NORTH
,,,,06 BUNYIKA B
,,,,08 NASINU CENTRAL
,,,,09 NASINU SOUTH
,235 BUKOOLI ISLAND COUNTY,04 SIGULU ISLANDS,06 HAMA,01 MAKINDYE
,,,,02 SIAMULALA
,,,,03 SIRO
,,,,04 WAYASI
,,,07 BUGANA,01 BUBWIBO
,,,,02 BUGANA
,,,,03 BULIANI
,,,,04 LWORE
,,,,05 MABUKA
,,,,06 NDAYIGA
,,,,07 SOMOHO
,,,08 LOLWE WEST,01 BUYANDO GATUNDU
,,,,02 GOROFA EAST
,,,,03 GOROFA WEST
,,,,04 HAKARI
,,,,05 KAMWANGA
,,,,06 KANDEGE
,,,,07 NYALO
,,,09 SIGULU MANGA,01 BUBUBI
,,,,02 BUHABOCHA
,,,,03 BUHWANA
,,,,04 BUTAMALA
,,,,05 BUYIMA
,,,,06 MATOLO
,,,10 RABACHI,01 BUGEGE
,,,,02 BULARI
,,,,03 BUMAYINDI
,,,,04 BUYANGA
,,,,05 LUBIRI
,,,,06 RABACHI T/C
,,,35 BIISA,01 BIISA
,,,,02 YEBE
,,,36 BUDUMA,01 BUDUMA
,,,,02 BUHERE
,,,,03 BUHOBI
,,,,04 BUHONE
,,,,05 BUKANI
,,,,06 BUKUBUNGU
,,,,07 HABAGAYA
,,,,08 MUGABE
,,,,09 NAMAVUNDU
,,,37 LOLWE EAST,01 BUKANGAWA
,,,,02 BUTANIRA
,,,,03 MWAGODA
,,,,04 MWANGO
,,,,05 RABOLO
,,,,06 SINGILA CENTRAL
,,,,07 SINGILA WEST
,,,38 SIGULU MUKANI,01 BANGO
,,,,02 BUHOBA 'A'
,,,,03 BUHOBA 'B'
,,,,04 MUKANI
,,,,05 SIEMBA 'A'
,,,,06 SIEMBA 'B'
,,,39 NAMPONGWE,01 BUGOMA
