49 MAYUGE,034 BUNYA COUNTY EAST,01 BUWAAYA,01 BUWAISWA,01 BUBAGO
,,,,17 MALONGO UPPER
,,,,18 KABUKA BEACH
,,,,19 MALONGO CENTRAL
,,,07 NAMADHI,01 NAMADHI A
,,,,02 NAMADHI B
,,,,03 NAMADHI C
,,,,04 NAMADHI T/C
,,,,05 NAMAVUNDHU KYONDO
,,,,06 NAMAVUNDHU T/C
,,,,07 NAMADHI D
,,,,08 NAMADHI BEACH
,,,,09 NAMADHI SOUTH
,,,08 BWONDHA,01 NALUBABWE
,,,,03 BWONDHA D
,,,,04 BWONDHA A
,,,,05 BWONDHA B
,,,,06 BWONDHA C
,,,19 BUKATABIRA,03 BUKATABIRA A
,,,,11 NKOLONGO
,,,,14 NKOLONGO B
,,,,15 NKOLONGO A
,,,,16 BUKATABIRA B
,,,,17 NKOLONGO C
,,,21 BULUTA,01 BUKAGABO 'A' BEACH
,,,,02 BUKAGABO 'A' VILLAGE
,,,,03 BUKAGABO 'B' BEACH
,,,,04 BUKAGABO 'B' VILLAGE
,,,,05 BULUTA A
,,,,06 BULUTA IKOLE
,,,,07 BULUTA KITOGO
,,,,08 MALINDI
,,,,09 BULUTA BULAIRE
,,,,10 BUKAGABO C
,,,,11 BULUTA B
,,,,12 BULUTA C
,,,22 NAMONI,01 BULUNGU
,,,,02 MAGOOLA B
,,,,03 NAMONI 'A'
,,,,04 NAMONI 'B'
,,,,05 NAMONI BEACH
,,,,06 WAMALA
,,,,07 MAGOOLA A
,,,24 BUMWENA,01 BUGATA
,,,,02 NAKIGO B
,,,,03 BUGOOMA BEACH
,,,,04 NAMASONKO
,,,,05 NAWAMPONGO
,,,,06 BULUBUDHE
,,,,07 BUMWENA B
,,,,08 NAKIGO A
,,,,09 BULUBUDHE
,,,,12 BULEBI
,,,,13 BUMWENA A
,,03 JAGUZI,09 SAGITU,01 BUSWETA
,,,,02 DEMBE
,,,,03 MAGANDA
,,,,04 NALUWERERE
,,,10 BUMBA,01 BUKABAMBWE
,,,,02 BUYAKO BEACH
,,,,03 BUYAKO VILLAGE
,,,,04 GALILAYA
,,,11 JAGUZI,01 BUSABALA A
,,,,02 BWAYA/BUKEMBO
,,,,03 GOOLI
,,,,04 KAZIRU
,,,,05 MUBEMBE
,,,,06 MUSOMA
,,,,07 NABUKALU
,,,,08 BUSABALA B
,,,,09 NABUKALU A
,,,,10 GOOLI B
,,,18 SERINYABI,04 LUKOBA
,,,,05 MASAMBA
,,,,06 KOLOLO
,,,20 KAAZA,01 KAAZA A
,,,,02 KAAZA B
,,,,03 SIMWE
,,,23 MASOLYA,01 MASOLYA 'A'
,,,,02 MASOLYA 'B'
,,,,03 MASOLYA CENTRAL
,,04 BUSAKIRA,01 KALUUBA,01 BUSAKIRA 'A'
,,,,02 BUSAKIRA B
,,,,03 BUSAKIRA 'C'
,,,,04 BUSAKIRA 'D'
,,,,05 KAFUMITA
,,,,06 KAULUBA 'A'
,,,,07 KALUUBA 'B'
,,,,08 KALUUBA 'C'
,,,03 MAUMU,01 BUSEERA B
,,,,02 BUYANIRWA
,,,,03 MAUMU A
,,,,04 MAUMU B
,,,,05 NAMWOBA
,,,12 BUTANGALA,01 BUBALI
,,,,02 BUGOYE
,,,,03 MUKONDA
,,,,04 BUTANGALA 'A'
,,,,05 BUTANGALA 'B'
,,,,06 NAMIRO
,,,,07 WAITA
,,,14 WAMBETE,01 BUSEERA 'A'
,,,,02 BUSEERA 'C'
,,,,03 MACHECHE
,,,,04 WAMBETE 'A'
,,,,05 WAMBETE 'B'
,,,16 BUKUNJA,01 BUKUNJA 'A'
,,,,02 BUKUNJA 'B'
,,,,03 BUSAALA
,,,,04 LUBALI
,,,,05 NAMISU 'A'
,,,,06 NAMISU 'B'
,,,,07 NAMISU C
,036 BUNYA COUNTY WEST,01 BAITAMBOGWE,02 BUTTE,01 BUTE 'A'
,,,,02 BUTE 'B'
,,,,05 NALWESAMBULA A
,,,,06 NALWESAMBULA B
