75 NAMUTUMBA,037 BUSIKI COUNTY,01 BULANGE,01 BUGOBI,01 BUGOBI A
,,,,14 NAMUWAYO
,,,,15 BUDABUNA
,,,,16 IRIMBI
,,,,17 KASULETA
,,,,18 KAMUGOYA
,,,21 NABINYONYI,01 GADUMIRE
,,,,02 IRONDO
,,,,03 NABINYONYI I
,,,,04 NABINYONYI II
,,,,05 NABINYONYI III
,,,,06 NAMALEMBA
,,,,07 BUGALIMU
,,,,08 BUGANZA
,,,,09 BUTABILA
,,,,10 KIGWERO
,,,,11 KYARA
,,,,12 NAWANSALYA
,,,22 KAGULU,01 BUGIRI
,,,,02 IRWANIRO
,,,,03 KAGULU
,,,,04 KISYAIKE
,,,,05 NABWEYO
,,,,06 IZIMBA
,,,,07 KAWANAMO
,,,,08 LUZINGA
,,,,09 NABIGALATA
,,,,10 NAKAWA
,,,,11 NAMUSAYI
,,,,12 NAWAMBIRI
,,05 NAMUTUMBA,23 ITUBA,01 ITUBA A
,,,,02 NAMUWONDO A
,,,,03 NAWAMPANDU A
,,,,04 ITUBA B
,,,,05 ITUBA C
,,,,06 NAMUWONDO B
,,,,07 NAWAMPANDU B
,,,24 KIGALAMA,01 BULAFA
,,,,02 KIGALAMA
,,,,03 NAMAKOBA A
,,,,04 NAMATO EAST
,,,,05 NAMATO WEST
,,,,06 NAMAKOBA B
,,,,07 NAMATO CENTRAL
,,,,08 SABAGABO
,,,25 NAKALOKWE,01 BUNYAGWE A
,,,,02 IGERERA
,,,,03 MAWUNGWE A
,,,,04 NAKALOKWE
,,,,06 BUBBALYA
,,,,08 BUNYAGWE B
,,,,09 MAWUNGWE B
,,,26 NAKYEERE,01 BULYABWITA A
,,,,02 KASEDHERE A
,,,,03 NAKYERE
,,,,04 BULYABWITA B
,,,,05 KASEDHERE B
,,,,06 KASIMIZI
,,,28 NAWANSAGWA,01 BUWOOLA
,,,,02 KIZUBA
,,,,03 NAMUSENO
,,,,04 NAWANSAGWA
,,,,05 NTALINGA
,,,,06 BUNYANZI
,,,,07 KAVULE
,,,,08 KISIMO A
,,,,09 KISIMO B
,,,,10 KITAAMA
,,,,11 NAKAGHANO
,,,,12 NAMULU
,,06 NSINZE,29 BUBAGO,01 BUBAGO
,,,,02 BUDHEBERO A
,,,,03 BULAGALA
,,,,04 KASULEETA
,,,,05 NAMBOOTE
,,,,06 BUDHEBERO B
,,,,07 KISENHO
,,,,08 MEERU
,,,,09 NABIGHERYA
,,,,10 NAMUKENKEDU
,,,,11 NKOLOOTA
,,,30 BUKONTE,01 BUDHATEMWA A
,,,,02 BUDHATEMWA B
,,,,03 BUKAIRU
,,,,04 BULONGO
,,,,05 KISIKI
,,,,06 BUYANGA
,,,,07 NAKAWUNZO I
,,,,08 NALUSOLO
,,,,09 BUDIGO
,,,,10 BUMOGA
,,,,11 MATAGA
,,,,12 NAWAIBETE
,,,,13 NKOTE
,,,,14 NAKAWUNZO II
,,,31 BUWONGO,01 BUNYAGWE
,,,,02 BUWONGO A
,,,,03 MALIGA
,,,,04 BUKOLO
,,,,05 BUWONGO B
,,,,06 BUYUNGA
,,,,07 CENTRAL BUNYAGWE
,,,,08 KAPASULI
,,,,09 KATENGEREIRE
,,,,10 MALIGA TRADING CENTRE
,,,,11 NAIGOMBWA
,,,,12 SIIRA
,,,32 NAWAIKONA,01 BUKUDUMIRA
,,,,02 KIVULE
,,,,03 NABIKENGE
,,,,04 NAWAIKONA 'A'
,,,,05 NAWAIKONA ''B'
,,,,06 NAWAMPIITI
,,,,07 BUBINGA
,,,,08 BUKEBWE
,,,,09 BUTAGALA
,,,,10 NABITULUNTU
,,,,11 WALUMBO
,,,33 NSINZE,01 ISEGERO A
,,,,02 ISEGERO B
,,,,03 ISEGERO MAILO
,,,,04 NSINZE
,,,,06 BUKENHE
,,,,07 BUWOITO
,,,,08 NABUKALU
,,,,09 NAMASERE
,,,,10 NAMAVUNDU
,,,,11 NAMUKOOGE
,,,,12 NDIKWITAMAIRA
,,07 NAMUTUMBA TOWN COUNCIL,27 NAMUTUMBA CENTRAL WARD,03 KANGULUMO A
,,,,04 KANGULUMO B
,,,,05 NAMUTUMBA A
,,,,06 NAMUTUMBA B
,,,,07 BUDONGO
,,,36 NAMUTUMBA NORTH WARD,01 BULOGO
,,,,02 KALAMIRA
,,,,03 BUKAABA
,,,37 NAMUTUMBA SOUTH WARD,01 BUWAMBI
,,,,02 ITONKO
