,,02 NAMBALE,07 MWIRA,01 KAMIRABIKOMO
,,,,02 MWIRA
,,,,03 NABITOVU
,,,,04 NABITOVU NORTH
,,,08 KIDAAGO_NABITENDE,01 KIDAGO A
,,,,02 KIDAGO B
,,,,03 NABITENDE A
,,,,04 NABITENDE B
,,,,05 BUSABI ZONE
,,,,06 BUKOSE ZONE
,,,,07 BUYALE ZONE
,,,09 NAIBIRI,01 KAZIGO A
,,,,02 KAZIGO B
,,,,03 NAIBIRI CENTRAL
,,,,04 NAIBIRI NORTH
,,,,05 NAIBIRI SOUTH
,,,10 NAMBALE,01 NAMBALE I  A
,,,,02 NAMBALE I  B
,,,,03 NAMBALE II
,,,11 NASUTI,01 BUSIMBA
,,,,02 NABUKONE
,,,,03 NASUUTI NORTH
,,,,04 NASUUTI SOUTH
,,,,05 KAKIRA
,,03 NAMUNGALWE,12 BULUMWAKI,01 BULUMWAKI I
,,,,02 BULUMWAKI II
,,,,03 NSINZE
,,,13 MWENDANFUKO,01 BULANGA
,,,,02 MWENDANFUKO I
,,,14 NAMUNGALWE,01 KAWETE
,,,,02 NAMUNGALWE RURAL
,,,,03 NAMUNGALWE T/C
,,,,04 NAMUNGALWE B
,,,15 NAMUNKANAGA,01 NAMUNKANAGA I
,,,,02 NAMUNKANAGA II
,,,16 NAMUNKESU,01 BUBOGO
,,,,02 NABIKOOTE
,,,,03 NAMUFUMA
,,,,04 NAMUNKESU
,,,,05 BUBOGO B
,,,17 NAMUNSAALA,01 BUFUTULA
,,,,02 NAMUNSAALA
,,,,03 BUFUTULA 2
,,,23 NAWANSEGA,01 NAWANSEGA I A
,,,,02 NAWANSEGA II  B
,,04 NAWANDALA,18 BUGONGO,01 BUGOLE A
,,,,02 BUGOLE B
,,,,03 BUGONGO
,,,,04 NAMABWERE I
,,,,05 NAMABWERE II
,,,,06 NAMUKUMYA
,,,,07 NAWANDALA
,,,,08 NAWANGAIZA II
,,,,09 BUSAKAIRE
,,,,10 BUGONGO B
,,,19 KIWANYI,01 KIWANYI I
,,,,02 KIWANYI II
,,,,03 BUSAALA
,,,,04 BUWUMBA
,,,,05 MADHIMASU
,,,,06 BUKYEEGA
,,,20 KYENDABAWALA,01 BUGAMBO
,,,,02 BUNYOKANO
,,,,03 BUSOIGI
,,,,04 BUZAYA
,,,,05 IKUMBYA
,,,,06 KABULI I
,,,,07 KABULI II
,,,,08 KYENDABAWALA
,,,21 NAMUSIISI,01 BUYUNGA
,,,,02 MALOBI
,,,,03 NAMUSIISI
,,,,04 BUGANZA
,,,22 NAWANGAIZA,01 KIRINGA A
,,,,02 KIRINGA B
,,,,03 NAWANGAIZA I
,039 KIGULU COUNTY SOUTH,01 BULAMAGI,03 BUKOYO,01 BUDHWEGE
,,,,02 BUKOYO
,,,,03 NAWANSINGE
,,,,04 BUKABISI
,,,05 BULOWOOZA,01 KASOLO
,,,,02 BULOWOOZA
,,,,03 MADHIGANDERE
,,,,04 NGANGALI
,,,,05 WALUKUBA
,,,,06 MAWOITO
,,,07 BWANALIRA,01 BUDHEBERA
,,,,02 IGULAMUBIRI
,,,,03 BUWASA
,,,,04 BUYUBU
,,,,05 BWANALIRA
,,,,06 KINAWANSWA
,,,08 IWAWU,01 BUWOYA
,,,,02 IWAWU
,,,,03 KYEMEIRE
,,,,04 MASABA
,,,,05 NAMASOGA
,,,,06 NAWANKOFU
,,,,07 NKAZIWERU
,,,,08 NTINDA
,,,,09 NAMALEMBA
,,03 NAKALAMA,11 BUKAYE,01 BUKAYE
,,,,02 BUWONGO
,,,,03 NAMPIRIKA A
,,,,04 NAMPIRIKA B
,,,,05 IGULUSA
