"","HHID","region","yield"
"200",109050401,"Eastern",840
"201",109060401,"Eastern",166.666660043929
"202",109080401,"Eastern",1333.33333333333
"203",109090402,"Eastern",200
"204",115050401,"Eastern",384.615378884169
"205",118010401,"Eastern",133.333333333333
"206",118040401,"Eastern",304.347832396711
"207",118060401,"Eastern",952.380914536735
"208",118080401,"Eastern",1000
"209",118100401,"Eastern",333.333333333333
"210",119010401,"Eastern",766.666636202072
"211",119050401,"Eastern",666.666666666667
"212",119080401,"Eastern",600
"213",120050401,"Eastern",1428.57142857143
"214",120070401,"Eastern",243.055551933746
"215",120080401,"Eastern",500
"216",120080402,"Eastern",1000
"217",120090401,"Eastern",428.571428571429
"218",120100401,"Eastern",333.333333333333
"219",124090401,"Eastern",500
"220",125050401,"Eastern",3333.33320087857
"221",125060401,"Eastern",375
"222",125090401,"Eastern",100
"223",125100401,"Eastern",750
"224",126030401,"Eastern",230.769227330501
"225",126060402,"Eastern",476.190484299952
"226",126100401,"Eastern",575
"227",126100402,"Eastern",218.749996740371
"228",126110401,"Eastern",200
"229",127010401,"Eastern",571.428571428571
"230",127100401,"Eastern",41.6666663907192
"231",128060401,"Eastern",107.142858967489
"232",128090401,"Eastern",366.071423116539
"233",129010401,"Eastern",200
"234",129030401,"Eastern",444.444444444444
"235",129050402,"Eastern",700
"236",129070401,"Eastern",1333.33333333333
"237",129080401,"Eastern",300
"238",129090402,"Eastern",400
"239",130060401,"Eastern",400
"240",130060403,"Eastern",800
"241",130060406,"Eastern",700
"242",131020401,"Eastern",50
"243",131020402,"Eastern",533.333333333333
"244",131030401,"Eastern",571.428571428571
"245",131040401,"Eastern",240
"246",131050401,"Eastern",1111.11111111111
"247",131050402,"Eastern",299.999995529652
"248",131060401,"Eastern",100
"249",131070402,"Eastern",230.76922865309
"250",131070403,"Eastern",85.7142871739913
"251",131080401,"Eastern",53.3333333333333
"252",131090401,"Eastern",428.571428571429
"253",132020401,"Eastern",249.99999627471
"254",132040401,"Eastern",2500
"255",132050402,"Eastern",384.615378884169
"256",132050404,"Eastern",444.44442678381
"257",132070401,"Eastern",750
"258",133070401,"Eastern",100
"259",133090401,"Eastern",124.999998137355
"260",133100402,"Eastern",97.2222222222222
"261",133110401,"Eastern",750
"262",142070402,"Eastern",166.666666666667
"263",143040404,"Eastern",1000
"264",151100401,"Eastern",55.5555555555556
"265",162040401,"Eastern",350
"266",168020401,"Eastern",337.837840286896
"267",170050401,"Eastern",50
"268",172030401,"Eastern",399.999994039536
"269",172050401,"Eastern",208.333330228925
"270",172070401,"Eastern",1300
"271",172100401,"Eastern",281.25
"272",173020401,"Eastern",200
"273",173090401,"Eastern",230.769230769231
"274",177070404,"Central",857.142871739913
"322",252010402,"Western",1500
"323",252030401,"Western",150
"324",252080401,"Western",93.7499986030162
"325",252100401,"Western",250
"326",254020401,"Western",240
"327",254090401,"Western",333.333333333333
"328",259050401,"Western",199.999992052714
"329",259090401,"Western",228.571425165449
"330",259100401,"Western",200
"331",261060401,"Western",75
"332",261060402,"Western",100
"333",261070401,"Western",666.666666666667
